Marks,Mid1,Mid2,Result,SPI
95,44,51,1,8.76
103,48,55,1,8.05
58,29,29,2,5.67
29,12,17,2,0
118,54,64,1,9
95,45,50,1,8
138,68,70,1,9.81
131,63,63,1,9.29
86,43,43,1,8
72,35,37,1,7.81
60,27,33,1,6.06
79,41,38,1,7.05
59,29,30,1,5.95
74,37,37,1,7.08
25,11,14,2,0
89,41,48,1,7.71
61,29,32,2,2.48
75,39,36,1,7
43,24,19,2,4.71
100,45,55,1,8.52
117,59,58,1,8.95
58,50,8,1,7.24
115,57,58,1,8.81
136,64,72,1,9.43
66,33,33,1,7.76
63,31,32,1,6.76
53,27,26,1,6.62
88,45,43,1,7.38
45,24,21,2,5.33
105,47,58,1,8.38
71,37,34,1,7.05
9,0,9,2,2
47,23,24,2,3.43
27,16,11,2,2.1
66,27,39,1,6.14
30,19,11,2,3.95
105,48,57,1,7.95
33,17,16,2,1.43
91,43,48,1,8.29
66,36,30,1,7.87
14,11,3,2,0
92,42,50,1,8.38
84,46,38,1,7.29
66,34,32,1,7.02
86,42,44,2,1
119,57,62,1,8.9
66,32,34,1,7.43
99,51,48,1,8.37
126,63,63,1,8.9
62,29,33,2,5.33
57,32,25,2,5.29
27,19,8,2,0
63,31,32,1,6.62
129,66,63,1,9.33
63,29,34,1,7.43
121,59,62,1,9.52
133,67,66,1,9.57
82,34,48,1,7.86
94,40,54,1,7.67
113,55,58,1,9.52
59,31,28,2,5.1
81,39,42,2,6.05
42,26,16,2,3.43
59,25,34,1,6.33
85,43,42,1,7.24
36,20,16,2,0.95
106,51,55,1,9.1
52,22,30,2,4.48
38,22,16,2,4.67
118,55,63,1,8.62
86,46,40,1,7.19
116,57,59,1,8.81
104,49,55,1,8.62
95,45,50,1,7.67
41,11,30,2,4.38
40,14,26,2,3.81
90,43,47,1,7.95
95,41,54,1,7.81
113,51,62,1,8.38
75,31,44,1,7.29
67,30,37,1,6.86
79,34,45,1,7.76
32,11,21,2,3.52
122,63,59,1,9.24
64,35,29,2,5.19
119,58,61,1,9
108,51,57,1,9.52
15,13,2,2,0
121,61,60,1,9.57
82,38,44,1,8.1
58,24,34,2,4
84,43,41,1,7.19
123,58,65,1,9.14
101,53,48,1,8.57
69,38,31,1,7.57
79,36,43,1,7.24
104,49,55,1,8.05
99,49,50,1,7.95
38,0,38,2,4.71
70,27,43,1,7.33
71,32,39,1,6.95
77,31,46,2,5.33
92,42,50,1,8.05
61,29,32,1,6.33
145,71,74,1,9.71
61,29,32,1,6.38
118,55,63,1,8.57
124,58,66,1,9.1
77,14,63,1,7.33
37,13,24,2,1.29
40,17,23,2,4.81
122,61,61,1,8.71
54,26,28,2,4.81
123,49,74,1,9.52
102,51,51,1,8
54,19,35,2,5.29
99,50,49,1,7.48
85,44,41,2,4.05
144,72,72,1,9.95
65,27,38,1,6.9
85,35,50,1,7.67
136,70,66,1,9.52
40,22,18,2,3.25
65,29,36,1,6.71
135,72,63,1,9.67
11,2,9,2,0.67
37,15,22,1,6.99
121,60,61,1,8.81
92,47,45,1,7.67
98,50,48,1,7.95
86,38,48,1,6.86
45,18,27,2,4.95
70,33,37,2,5.33
141,72,69,1,8.86
50,20,30,2,5.19
142,68,74,1,9.29
71,29,42,1,6.81
123,55,68,1,9.33
99,50,49,1,8.1
99,42,57,1,8.14
107,43,64,1,8.76
56,34,22,2,5.1
52,29,23,2,4.18
20,11,9,2,2.05
94,52,52,1,7.48
130,66,64,1,9.52
65,34,31,1,7.14
81,47,34,1,6.76
124,63,61,1,8.71
45,20,25,1,6.67
105,49,56,1,8.48
27,11,16,2,2.05
32,22,10,1,6.19
1,1,0,2,0.67
79,39,40,1,7.38
102,54,48,1,8.33
94,50,44,1,7.95
53,28,25,2,4.9
63,30,33,1,7.05
91,43,48,1,7.67
34,21,13,2,4.9
16,10,6,2,2
73,33,40,1,6.52
86,41,45,1,7.43
87,47,40,1,8.19
25,13,12,2,2
75,40,35,1,7.24
41,23,18,2,5.1
46,25,21,1,6.57
8,4,4,2,1.19
21,12,9,2,1.05
62,30,32,2,5.1
77,42,35,1,7.19
45,20,25,2,1.14
31,12,19,2,2.24
81,47,34,2,5.57
23,4,19,2,3.76
48,23,25,2,2.48
58,24,34,2,5.19
75,37,38,1,6.71
41,20,21,1,6.52
35,23,12,2,3.67
28,14,14,2,3.76
22,13,9,2,4.9
27,12,15,2,1.57
104,47,57,1,8.14
97,49,48,1,8
37,23,14,2,3.76
,38,27,1,7.36
,30,33,1,7.36
,32,49,1,7.32
,20,8,2,0
,60,65,1,7.68
,52,44,1,8.36
,66,70,1,9.64
,56,35,1,9.5
,35,4,1,6.82
,35,32,1,7.23
,17,0,2,0
,28,20,1,6.73
,37,30,2,6.5
,28,24,1,6.09
,39,31,1,7.09
,12,0,2,3.05
,44,28,1,8.59
,22,14,2,4.09
,31,24,1,7.5
,12,16,2,6.18
,10,22,2,2.86
,46,53,1,8.95
,65,42,1,7.68
,43,22,1,7.41
,54,40,1,8.5
,74,65,1,9.86
,50,38,1,8.14
,39,42,1,7.95
,15,38,2,6.55
,26,29,1,7.05
,36,39,2,5.36
,25,24,1,7.95
,30,35,1,6.86
,12,14,2,3.95
,15,20,2,6.14
,6,26,2,3.14
,12,15,2,5.32
,28,26,2,6
,62,63,1,8.59
,8,18,2,2.45
,54,28,1,7.23
,26,29,1,7.77
,0,14,2,2.18
,40,30,2,5.91
,32,27,1,7.23
,27,29,1,6.73
,54,59,1,6.64
,72,51,1,7.32
,42,31,1,8.18
,40,37,1,8.45
,58,53,1,8.32
,38,20,1,7
,26,26,1,6.95
,50,27,1,6.95
,43,30,1,6.82
,76,76,1,9.27
,20,30,1,7.59
,48,38,1,8.36
,74,63,1,9.32
,42,23,1,7.41
,46,27,1,7.82
,58,36,1,8.55
,35,30,1,7.05
,21,18,1,6.55
,24,17,2,2.73
,35,34,1,5.95
,22,30,1,8
,40,30,1,6.68
,50,63,1,9.36
,25,24,2,4.09
,15,15,2,5.77
,49,34,1,8.36
,42,34,1,7.5
,65,59,1,8.82
,58,44,1,7.82
,36,32,1,7.77
,27,34,1,7.45
,13,26,2,5.41
,46,38,1,8.18
,36,35,1,7.14
,56,33,1,7.86
,50,27,1,7.91
,42,36,1,7.45
,37,27,1,7.36
,21,23,1,6.64
,41,34,1,8.5
,34,24,2,4.86
,52,45,1,8.14
,59,48,1,8.45
,0,26,2,3.32
,59,40,1,8.82
,45,47,1,7.77
,27,18,1,6.45
,42,27,1,7.18
,78,48,1,8.32
,74,37,1,8.86
,46,32,1,7.64
,24,27,1,7.32
,56,43,1,7.86
,56,39,1,8.36
,62,29,1,7.14
,60,39,1,7.59
,25,23,1,6.86
,50,37,1,7.23
,27,31,1,7.18
,20,24,1,6.86
,76,76,1,10
,44,38,1,7.36
,54,25,1,7.95
,61,43,1,8.91
,61,41,1,8.23
,0,16,2,3.82
,24,23,2,4.23
,68,56,1,8.59
,31,22,1,6.73
,74,62,1,9.14
,56,37,1,8.05
,34,23,2,4.77
,40,28,1,7.59
,44,32,1,7
,80,68,1,9.86
,38,37,2,5.82
,40,28,1,7.32
,74,40,1,9.14
,44,24,2,4.32
,44,22,1,7.05
,54,33,1,7.32
,10,4,2,2.05
,0,18,1,6.73
,44,40,1,7.68
,34,32,1,6.95
,37,31,1,8.32
,34,22,1,6.86
,29,3,2,4.68
,26,16,1,6.23
,30,22,2,5.18
,48,37,1,8.18
,16,0,2,0.82
,36,32,1,6.82
,74,51,1,9.14
,46,24,1,6.77
,54,32,1,7.55
,46,48,1,7.59
,58,56,1,9.18
,56,43,1,8.77
,32,21,2,5.45
,26,14,2,4.27
,14,6,2,4.23
,65,32,1,7.59
,67,37,1,8.91
,43,25,1,7.41
,34,28,1,6.73
,72,64,1,8.55
,30,21,1,7.27
,44,25,2,6.27
,37,15,1,6.73
,34,24,1,6.55
,8,8,2,2.59
,52,28,1,7.36
,70,49,1,8.18
,58,46,1,8.05
,32,22,1,6.73
,48,26,1,7.45
,26,12,1,6.82
,22,18,2,4.73
,24,24,2,3.45
,41,31,1,6.68
,42,32,2,5.36
,32,12,2,2.18
,64,30,1,8.68
,34,12,2,5.05
,30,24,1,6.55
,42,21,2,2.45
,0,11,2,1.77
